FAC_TYPE,VERS_DATE,SERIAL_NO,NAME,LATITUDE,LONGITUDE,SITE_CLASS,WILDERNESS,DIS_ACCESS,ACCESS_DSC,FEE,COMMENTS,MAINT_BY,LABEL,ACT_CODE,FAC_CODE,PUBLISHED,CLOS_STAT,CLOS_DESC,CLOS_START,CLOS_OPEN,CLOS_REAS,CAMPING,CAMPING_C,CAMPING_R,CAMPERVANG,CAMPERVANC,CAMPERVANT,CAMPVANR,TB_VISITOR,TBVA_C,TBVA_R,HERITAGE,HERITAGE_C,HERITAGE_R,FISHING,FISHING_C,FISHING_R,FOSSICKING,FOSSICK_C,FOSSICK_R,HANG_GLIDE,HANG_GLD_C,HANG_GLD_R,HORSE_RIDE,HORSERIDEC,HORSERIDER,PADDLING,PADDLING_C,PADDLING_R,PICNICING,PICNIC_C,PICNICINGR,REDUCE_NA,REDUCE_C,REDUCE_R,ROCKCLIMB,ROCKCLMB_C,ROCKCLIMBR,TREE_VIEW,TREEVIEW_C,TREEVIEW_R,WALKINGDOG,WALKDOG_C,WALKDOG_R,WILDLIFE,WILDLIFE_C,WILDLIFE_R,PCT_AFRAME,PCT_PEDEST,PCT_OTHER,BBQ_ELEC,BBQ_PIT,BBQ_GAS,BBQ_WOOD,IS_PART_OF,PHOTO_ID_1,PHOTO_ID_2,PHOTO_ID_3,SDE_DATE,Y_COORD,X_COORD,ALTER_DATE,ENTITY_ID,UFI
REC SITES,2021/09/25,"3709",Battery Dam Historic Site,-37.0843950000,143.7484110000,MID,,PARTIAL,"Battery Dam is located 3 km south of Maryborough.  From Maryborough head south along Majorca Road (Inkerman Street).  Once in the Craigie State Forest turn west onto Graves track and head into the forest for approximately 1km.
",,"Battery Dam is a great place for a lazy picnic and a stroll through historical sites left behind by the gold rush era.  Set amongst the Box and Ironbark trees of the Craigie State Forest, Battery Dam offers the visitor a varied mix of cultural and natura",MARYBOROUGH,Battery Dam Historic Site,E,,Y,,,,,,,,"0",,,,"0",,,"0",Y,"A historical gold mining site with remnants still visible. Set amongst the Box and Ironbark trees of the Craigie State Forest, Battery Dam offers the visitor a varied mix of cultural and natural history. Remnants from pre European times, the gold rush of","2",,,"0",,,"0",,,"0",,,"0",,,"0",Y,"For those seeking a picnic in a relaxing forest environment, Battery Dam is hard to beat. Picnic tables and BBQs are provided for day visitor use. Several information boards provide interpretation of the various features at the site.","1",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,,,"1",,"122243","122244","122245",2021/09/25,-37.0843950000,143.7484110000,,,469519-20210708
REC SITES,2021/09/25,"3867",Red White And Blue,-37.0600220000,144.1076770000,MID,,NONE,"Within the Muckleford State Forest, approximatley 10 kms south of Maldon. From Maldon head south, take the Castlemaine Maldon Rd to the left, turn right into Pullans Rd, travel west for about 1 km then turn left into Red White and Blue Tk, travel south f",,"The Red, White and Blue Mine is a site of historical, archaeological and scientific importance to Victoria  it is listed on the Victorian Heritage Register of significant heritage places. Explore the range of intact relics from the past, which illustrate",CASTLEMAINE,Red White And Blue,CE,,Y,,,,,,,,"0",Y,Parking available for those campervanning or towing a camper trailer,CAMPER TRAILER,"3",,,"0",Y,"Historic Red White and Blue mine (also known as the Golden Agemine or Moloneys Reef - listed on the Victorian Heritage Register of significant heritage places. Explore the range of intact relics from the past, which include an intact standing poppet head","2",,,"0",,,"0",,,"0",,,"0",,,"0",Y,"A peaceful relaxing setting to enjoy a picnic. The forest surrounding Red, White and Blue is unique, and supports a diverse range of flora and fauna species. Visit during spring and enjoy the spectacular wildflower displays. Picnic tables and bbqs provid","1",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,,,"1",,"122333","122334","122335",2021/09/25,-37.0600220000,144.1076770000,,,469521-20200501
REC SITES,2021/09/25,"4204",Seven Acre Rock Picnic Area,-37.9079110000,145.7497500000,BASIC,,NONE,"From Powelltown, head East along the Yarra Junction - Noojee Road, and turn right onto Turners Road. Follow Turners road until you reach Learmonth Creek Road. Turn Left onto Learmonth Creek road and continue until you reach Bunyip Road. The Seven Acre Ro",,,POWELLTOWN,Seven Acre Rock Picnic Area,,,Y,,,,,,,,"0",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,The picnic area is surrounded by tall Mountain Ash forest planted by the Forests Commission in 1969-70. This was done after the 1926 Black Sunday and 1939 Black Friday bushfires burned through the area in quick succession. Planting occurred because the f,"1",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,,,,,"122429","122430","122431",2021/09/25,-37.9079110000,145.7497500000,,,502917-20210818
REC SITES,2021/09/25,"4221",Starlings Gap,-37.8139310000,145.8006880000,MID,,NONE,"From Powelltown, head east along the Yarra Junction - Noojee Road (C425) for 6km then turn left up Big Creek Road. Travel along Big Creek Road for 11.5km and pull into the Starlings Gap car park on your right. 
From Warburton Travel along the Warburton",,"The forests surrounding Starlings Gap consist of a mixture of Cool Temperate Rainforest, Wet and Damp forest vegetation classes. It is rich in Mountain Ash (Eucalyptus regnans), towering above the moist ferny understorey that once provided harsh and remo",POWELLTOWN,Starlings Gap,W,eY,Y,,,,,,Y,"One of 2 designated camping areas along the walk into History, this site is accessible 2WD and walking. Mountain Ash tower above the open grassy camping area which is suitable for large or multiple camping groups. There is plenty to see at the site, with","1",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,"Only 11km along Big Creek Road, Starlings Gap is a popular spot to picnic on your way to the Ada Tree or during a day of exploring the Yarra State Forest. Multiple picnic tables and a shelter invite large or multiple groups in the Mountain Ash forest set","2",,,"0",,,"0",,,"0",,,"0",,,"0","1","1",,,"1",,,,"122435","122436","122437",2021/09/25,-37.8139310000,145.8006880000,,,502919-20210812
REC SITES,2021/09/25,"4358",La Trobe River Picnic And Camping Area,-37.8827110000,145.8914770000,BASIC,,NONE,Latrobe River Picnic and Camping Area is located approximately 90 kilometres east of Melbourne.  Turn left just 500m up Ada River Road which is located between the towns of Powelltown and Noojee along the Yarra Junction - Noojee road. With the exception,,Latrobe River Picnic and Camping Area is just a short walk away from the Latrobe River itself and is situated within easy access of a main road. The large area is within the heart of the Latrobe State Forest and is within a short distance of many worthwh,POWELLTOWN,La Trobe River Picnic And Camping Area,W,eY,Y,,,,,,Y,,"1",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,,"2",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,"1",,,,"122402","122403","122404",2021/09/25,-37.8827110000,145.8914770000,,,502920-20210811
REC SITES,2021/09/25,"4505",Spence Bridge,-35.7413290000,144.1806470000,BASIC,,NONE,"Spences Bridge Recreation Site is located 9 kms north of the Cohuna Township on Gunbower Creek. From Cohuna head north along the Cohuna-Koondrook Road. Turn right at Spences Bridge Road and enter Gunbower Island. Continue along Spences Bridge Track, ther",,"A tranquil quiet camp ground on Gunbower Creek for those who enjoy no frills camping. Basic facilities ( BBQs and Picnic tables) provided. Enjoy the sights and sounds of the surrounding river red gum forest. BBQs and picnic tables provided
",COHUNA,Spence Bridge,WUP,,Y,,,,,,Y,"Dispersed camp sites in forest clearings along Gunbower Creek, suitable for larger groups, close to Cohuna","1",,,,"0",,,"0",,,"0",Y,"Gunbower Island is a popular fishing destination. Note that a  current  NSW  Freshwater  Recreation  Fishing  Licence   is  required  when fishing in the  Murray  River, while a  Victorian   Recreational  Fishing  Licence  is  required  for  fishing  in","3",,,"0",,,"0",,,"0",Y,Launch your boat or canoe from the boat ramp located at this site,"4",Y,A pleasant spot for a picnic on Gunbower Creek. BBQs and picnic tables are provided at dispersed camp sites.,"2",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,,,"1",,"122348","122349","122350",2021/09/25,-35.7413290000,144.1806470000,,,506670-20200523
REC SITES,2021/09/25,"5476",Drummer Rainforest,-37.5688430000,149.2725810000,MID,,NONE,Approximately 12 kilometres east of Cann River the rest area is set 200m north of the Princes Hwy.,,"Set within some of East Gippsland's renowned warm temperate rainforest, take a break and enjoy the scenery.",CANN RIVER,Drummer Rainforest,,eY,Y,,,,,,,,"0",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,"Relax after your long drive by with use of the large picnic shelter, picnic tables and BBQ facilites","1",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,,,"2",,"5722",,,2021/09/25,-37.5688430000,149.2725810000,,,516726-20210610
REC SITES,2021/09/25,"5527",Link Road,-37.7897080000,146.1234060000,BASIC,,NONE,Link Road campground is accessed via the Mt Baw Baw Tourist Rd (C465). From here turn onto the Toorongo Tanjil Link Rd and the site will be on your left in 7.3km.,,"Small campground located on Link Road near Noojee. If you are looking for something more quiet, this is an alternative option to the popular Toorongo Falls campgrounds.",NOOJEE,Link Road,W,Y,Y,,,,,,Y,Small campground with toilet on site. Suitable for both tents and vehicle based camping.,"1",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,,,,,"120707","120708","120709",2021/09/25,-37.7897080000,146.1234060000,,,565109-20210827
REC SITES,2021/09/25,"5585",Toorongo Falls Campsite One,-37.8571540000,146.0390350000,BASIC,,PARTIAL,"Head east from Noojee on the Mount Baw Baw Tourist Road for approximately four (4) km and take a left turn into Toorongo Valley Road. Follow this bitumen road for approximately five (5) km. After crossing the third bridge, the road turns into a well-form",,Seasonal Partial Closure in place at first section of Campground.                                              An expansive drive-in camping area with easy foot access to the Toorongo River. The site has levelled terraced areas for tent and vehicle based,NOOJEE,Toorongo Falls Campsite One,WC,Y,Y,FULL CLOSURE,Part Campsite 1 open for school holidays remainder of Campsite 1 and all Campsite 2 to remain closed due to Storm Damage until October 1st.,2021/06/11,2021/10/01,FLOOD,Y,"Open or shaded campsites are offered on this terraced site, with easy access to a pretty section of the Toorongo River.  The Toorongo River becomes part of the Latrobe River near Noojee, flowing through the Latrobe Valley and into the Gippsland Lakes.","2",Y,A expansive site with terraced areas that can host small caravans and camper trailers.  There are plenty of open fire pits to light a fire and a short walk up hill takes you to basic toilet facilities. Can get muddy in winter.,CAMPER TRAILER,"4",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,"Easy river access, makes this site a good spot to have a picnic.  You may choose to picnic here before moving on to  the Toorongo Falls and Amphitheatre Falls walks.  There are several open fire pits to use to warm up your stay.","3",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,"1",,,,"120758","120759","120760",2021/09/25,-37.8571540000,146.0390350000,,,565114-20201106
REC SITES,2021/09/25,"5599",Toorongo Falls Picnic Area,-37.8497150000,146.0452750000,MID,,NONE,Head east from Noojee on the Mount Baw Baw Tourist Road for approximately 2km and take a left turn into Toorongo Valley Road.  Site access is at the end of this 10km well formed gravel road.,,"Enjoy a picnic under the shade of the towering mountain grey gum and mountain ash eucalyptus, with the sound of the Toorongo river in the background. The site features multiple picnic tables, a toilet block and the walking tracks to the Toorongo Falls, A",NOOJEE,Toorongo Falls Picnic Area,,Y,Y,,,,,,,,"0",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,A beautiful shaded spot for a picnic either before or after you return from the Toorongo and Amphitheatre Falls loop walking track. There are plenty of tables on a tree-fern lined cutting above a large carpark that can cater for large and small buses.  T,"1",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,,,,,"120755","120756","120757",2021/09/25,-37.8497150000,146.0452750000,,,565115-20210827
REC SITES,2021/09/25,"6093",Mount Hedrick Picnic Area,-37.8417420000,146.8084580000,BASIC,,NONE,From the township of Heyfield take Weir Rd North for 10km and turn Right onto Lanigan Rd. Turn Left off Lanigan Rd onto Millers Rd and follow for 7.5km. At Bulldog Junction turn right and continue on Huggetts Rd until you reach the Mt Hedrick Picnic Area,,Picnic area at the western end of the Mount Hedrick Walking Track.,HEYFIELD,Mount Hedrick Picnic Area,,,Y,,,,,,,,"0",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,A convenient location at the start of the Mt Hedrick Walking track. This day picnic area is suitable for a number of small groups.,"1",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,,,"1",,"120890","120891","120892",2021/09/25,-37.8417420000,146.8084580000,,,564108-20210830
REC SITES,2021/09/25,"6096",Huggetts Crossing,-37.8105310000,146.8542520000,BASIC,,NONE,Huggetts is located around 15km or 25 minutes North of the township of Newry and can be accessed via Three Chain Rd and then Kentucky Rd. At the end of Kentucky Rd turn left onto Huggetts Track and travel for 4km on this 4wd route to the Camping area.,,"A popular family campsite that also caters for picnickers, Huggetts is a great hub from which to explore the Avon-Mt Hedrick Natural Features and Scenic Reserve. This can be done either by foot on the Avon River and Mt Hedrick Walking Tracks or by 4WD on",HEYFIELD,Huggetts Crossing,W,Y,Y,,,,,,Y,"The main campsite is located on the banks of the Avon River and has toilet, picnic table and BBQ facilities. An additional camping area can be accessed by foot to the North of Navigation Creek.","2",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,The main picnic area is located prior to the camping area at the start of the Avon River Walking Track.,"3",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,"1",,,,"120860","120861",,2021/09/25,-37.8105310000,146.8542520000,,,564109-20210304
REC SITES,2021/09/25,"6099",Harrison'S Cut,-37.3256290000,147.2966500000,VERY BASIC,,NONE,"From Dargo, head north on Lind Avenue, continuing onto Dargo High Plains Road. Merge right onto Upper Dargo Road and follow this road through until you arrive at Harrison's cut at the roads end.",,"Harrisons Cut is a 50 metre river diversion which was probably excavated in the early 1880s. The cutting was used to divert the Dargo River to enable the river to be mined for gold. The vehicle track ends at the cutting.

",DARGO,Harrison'S Cut,E,,Y,,,,,,,,"0",,,,"0",,,"0",Y,The Harrisons Cut Gold Diversion Site is a 50 metre diversion which was probably excavated in the early 1880s. The name Harrison has strong connections with the Crooked River-Dargo goldfield from 1879-84. The cutting was used to divert the waters of the,"1",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,,,,,,,"120857","120858","120859",2021/09/25,-37.3256290000,147.2966500000,,,563884-20210830
REC SITES,2021/09/25,"6100",Collins Flat,-37.3385100000,147.2986370000,BASIC,,NONE,From Dargo travel 6km (10 minutes) up the Dargo High Plains Road and turn right onto Upper Dargo Road. Collins Flat is located at the 15km mark.,,Collins Flat is the last of the main camping areas along the Upper Dargo Road but is just as scenic as the previous sites.,DARGO,Collins Flat,WC,Y,Y,,,,,,Y,,"1",Y,,CAMPER TRAILER,"3",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,,"2",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,"1",,,,"120824","120825","120826",2021/09/25,-37.3385100000,147.2986370000,,,563885-20210304
REC SITES,2021/09/25,"6103",Black Flat,-37.3639800000,147.2936260000,BASIC,,NONE,From Dargo travel 6km (10 minutes) up the Dargo High Plains Road and turn right onto Upper Dargo Road. Black Flat is located at the 10.4km mark of the Upper Dargo Road.,,This campsite has less grassy areas but is well sheltered and provides a great bush setting beside the Dargo River.,DARGO,Black Flat,WC,Y,Y,,,,,,Y,Suitable for smaller groups in separate areas of the site.,"1",Y,Suitable for camper trailers although access is not as open as other sites.,CAMPER TRAILER,"3",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,A shady spot to stop for a picnic whilst exploring the Upper Dargo.,"2",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,"1",,,,"120791","120792","120793",2021/09/25,-37.3639800000,147.2936260000,,,563886-20210304
REC SITES,2021/09/25,"6105",Ollies Jump Up,-37.3856020000,147.2770760000,BASIC,,NONE,From Dargo travel 6km (10 minutes) up the Dargo High Plains Road and turn right onto Upper Dargo Road. Ollies Jump Up is located at the 6.5km mark.,,Ollies Jump Up is one of six campgrounds along the Dargo River.,DARGO,Ollies Jump Up,WC,Y,Y,,,,,,Y,An medium sized open site suitable for a number of family groups.,"1",Y,An open area suitable for camper trailers.,CAMPER TRAILER,"3",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,Another convenient stop along the Upper Dargo.,"2",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,"1",,"1",,"120902","120903","120904",2021/09/25,-37.3856020000,147.2770760000,,,563887-20210830
REC SITES,2021/09/25,"6109",Jimmy Iverson'S,-37.3996980000,147.2709650000,BASIC,,NONE,From Dargo travel 6km (10 minutes) up the Dargo High Plains Road and turn right onto Upper Dargo Road. Jimmy Iverson's is located at the 3.9km mark.,,Another great camping area beside the Dargo River with room for multiple families.,DARGO,Jimmy Iverson'S,WC,Y,Y,,,,,,Y,,"1",Y,,CAMPER TRAILER,"3",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,,"2",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,"1",,"1",,"120869","120870","120871",2021/09/25,-37.3996980000,147.2709650000,,,563889-20210304
REC SITES,2021/09/25,"6117",Italian Flat,-37.4090930000,147.2654840000,BASIC,,NONE,From Dargo travel 6km (10 minutes) up the Dargo High Plains Road and turn right onto Upper Dargo Road. Italian Flat is located at the 2.7km mark.,,This is one of the larger campsites on the Upper Dargo and provides a number of access points down to the Dargo river. Italian has plenty of picnic tables and fire places as well as a toilet.,DARGO,Italian Flat,WC,Y,Y,,,,,,Y,,"1",Y,,CAMPER TRAILER,"3",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,,"2",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,"1",,"1",,"120866","120867","120868",2021/09/25,-37.4090930000,147.2654840000,,,563890-20210304
REC SITES,2021/09/25,"6119",Two Mile Creek,-37.4081830000,147.2573210000,BASIC,,NONE,From Dargo travel 6km (10 minutes) up the Dargo High Plains Road and turn right onto Upper Dargo Road. Two Mile Creek is located at the 1.9km mark of the road.,,"Two Mile Creek is an easily accessible campsite which is located near the junction of Two Mile Creek and the Dargo River. There are a number of camping areas located along the Two Mile Creek, providing a good overnight option for visitors.",DARGO,Two Mile Creek,WC,Y,Y,FULL CLOSURE,"This site is closed due to current upgrade works (new toilet, installation of walking track).",2021/09/07,2021/12/12,MAINTENANCE WORKS,Y,This site provides easily accessible camping with space for a number of family groups along the access track by Two Mile Creek. These campsites are accessible to most vehicles.,"1",Y,The main camping area near the toilet facilities is well suited to camper trailers.,CAMPER TRAILER,"3",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,Two Mile Creek provides a convenient picnic stop along the Upper Dargo Road just prior to the Dargo High Plains Road.,"2",,,"0",,,"0",,,"0",,,"0",,,"0","1","1",,,"1",,"1",,"120944",,,2021/09/25,-37.4081830000,147.2573210000,,,563892-20210906
REC SITES,2021/09/25,"6139",Black Snake East,-37.4424050000,147.1455360000,VERY BASIC,,NONE,Black Snake Creek East is situated approximately 500m Northeast of Black Snake Creek campground along Black Snake Creek 4WD Track. It can be accessed from the Wonnangatta Road approximately 15km or 30 minutes from its intersection with the Dargo Road (C6,,This is a smaller campsite to the Northeast of Black Snake Creek main camping area. It provides closer access to the Black Snake Historic Walking Track.,DARGO,Black Snake East,W,,Y,,,,,,Y,A couple of small campsites are available at this location. Black Snake Creek runs past here on it's way to the Wonnangatta River.,"2",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,A sheltered spot to stop for a picnic after completing the Black Snake Creek Walk or on a trip along Wonnangatta Rd.,"3",,,"0",,,"0",,,"0",,,"0",,,"0",,,,,,,"1",,"120800","120801","120802",2021/09/25,-37.4424050000,147.1455360000,,,563901-20210325
REC SITES,2021/09/25,"6153",Blue Pool Day Visitor Area,-37.7791570000,147.1126980000,BASIC,,NONE,From Briagolong follow the Freestone Creek Road approximately 10km or 10 minutes to the Blue Pool carpark area. The lower carpark located just past the main Blue Pool area.,,"Blue Pool is a popular day visitor area set on the banks of the Freestone Creek. With direct access to the Blue Pool swimming hole, it is a popular spot to cool off during the summer months.
Blue Pool is a place of great cultural significance to the Bra",BRIAGOLONG,Blue Pool Day Visitor Area,,eY,Y,,,,,,,,"0",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,"There is a small picnic area located halfway between the Day Visitor Area carpark and Freestone Creek. This is a great spot to stop or park if you are completing the overnight Track 96 or one of the Freestone or Fern Gully Loops. If the carpark is full,","2",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,"1",,,,"120803",,,2021/09/25,-37.7791570000,147.1126980000,,,565117-20210421
REC SITES,2021/09/25,"6214",Pretty Boy Hill,-37.6122920000,147.1902270000,BASIC,,NONE,From the intersection with Beverleys Rd travel 24.5km or 25 minutes North on the Dargo Road (C601) to the Pretty Boy Hill carpark.,,Just past Cobbannah the Pretty Boy Hill picnic area provides a rest place en route to Dargo or a jumping off point for the Granite Creek and Track 96 walking tracks.,DARGO,Pretty Boy Hill,E,Ue,Y,,,,,,,,"0",,,,"0",,,"0",Y,The historic Granite Creek gold mining area can be accessed from the Pretty Boy Hill carpark.,"2",,,"0",,,"0",,,"0",,,"0",,,"0",Y,Sheltered picnic area for all weather picnicking.,"1",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,"1",,"1",,"120911","120912","120913",2021/09/25,-37.6122920000,147.1902270000,,,565118-20210304
REC SITES,2021/09/25,"6260",Lee Creek Camping Area,-37.6752800000,147.1593910000,BASIC,,NONE,From Briagolong travel around 30km or 45 minutes on the rough 2wd route of Freestone Creek Rd. From this campsite it is a further 12.5km North to the Bairnsdale-Dargo Rd (C601).,,Lee Creek Camping Area is located at the junction of the Freestone Creek Road and Lee Creek Track. The site is located on Sportsmans Creek and is the last campsite on Freestone Creek Road before it continues to wind its way up to Cobbannah.,BRIAGOLONG,Lee Creek Camping Area,W,,Y,,,,,,Y,Campsite with basic facilities like picnic tables and fire pits.,"3",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,Picnic tables and firepits available for day trips.,"2",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,"1",,,,"120875","120876","120877",2021/09/25,-37.6752800000,147.1593910000,,,565119-20210908
REC SITES,2021/09/25,"5993",Scots Mist,-37.3190070000,146.1292480000,VERY BASIC,,NONE,Dangerous access into picnic area if travelling from Jamieson.  Turnoff on bend of main road between Jamieson and Kevington.,,,MANSFIELD,Scots Mist,,U,Y,,,,,,,,"0",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,"A perfect spot to stop and have a picnic on your journey through the Upper Goulburn State Forest, sit by the Goulburn River and relax whilst you take in the scenic views.","1",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,,,,,"121628","121629","121630",2021/09/25,-37.3190070000,146.1292480000,,,532137-20201224
REC SITES,2021/09/25,"6267",Shadeys Place,-37.7141870000,147.1226530000,BASIC,,NONE,From Briagolong follow the Freestone Creek Road approximately 20km or 30 minutes. Turn left down the access track and Shadey's Place campsite is located around 200m from the road on the Freestone Creek.,,Shadey's Place is located a bit further off Freestone Creek Road and offers a quiet bush setting for a picnic or camp by the creek.,BRIAGOLONG,Shadeys Place,W,,Y,,,,,,Y,Suitable for small groups.,"1",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,A quiet bush setting suitable for picnics near a narrow section of Freestone Creek.,"2",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,"1",,,,"120929","120930","120931",2021/09/25,-37.7141870000,147.1226530000,,,565122-20210302
REC SITES,2021/09/25,"6271",Mckinnon'S Point,-37.7621260000,147.1066180000,BASIC,,NONE,"From Briagolong follow the Freestone Creek Road approximately 12km or 15 minutes, turn left onto McKinnon's Point Track (4WD only) and follow to the campsite located above Freestone Creek.",,Another campsite available on the Freestone Creek. Mckinnon's Point is the halfway point of the Freestone Walking Track and provides a convenient spot to stop for a picnic. The track from Freestone Creek Road also provides stunning views of the creek and,BRIAGOLONG,Mckinnon'S Point,W,,Y,,,,,,Y,A basic campsite with no toilet facilities. Please take your rubbish home so the site can be enjoyed by future visitors.,"1",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,A pleasant picnic spot on the Freestone Creek.,"2",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,,,"1",,"120884","120885","120886",2021/09/25,-37.7621260000,147.1066180000,,,565123-20210302
REC SITES,2021/09/25,"6281",Froam,-37.7756670000,147.1141400000,BASIC,,NONE,From Briagolong follow the Freestone Creek Road approximately 10.5km or 500m past the Lower Blue Pool carpark.,,A small campsite on the banks of the Freestone Creek. This is a close but slightly quieter setting than the Blue Pool Camping Area. Froam is located on the Freestone Walking Track.,BRIAGOLONG,Froam,W,o,Y,,,,,,Y,This site is suitable for small camping groups.,"2",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,A quieter picnic spot located just upstream from Blue Pool.,"3",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,,,"1",,"120845","120846","120847",2021/09/25,-37.7756670000,147.1141400000,,,565124-20210302
REC SITES,2021/09/25,"6285",Collins Hut,-37.4975720000,147.1552080000,BASIC,,NONE,"Access Collins hut off Dargo Road. Travelling north on Dargo road, turn left onto Wonnangatta road, turning left again into Scrubby Creek track. Follow Scrubby Creek track until you arrive at the the Collins Hut carpark.",,,DARGO,Collins Hut,W,Y,Y,,,,,,Y,,"1",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",Y,,"2",,,"0",,,"0",,,"0",,,"0",,,"0",,"1",,,,,"1",,"10966",,,2021/09/25,-37.4975720000,147.1552080000,,,563902-20210830
REC SITES,2021/09/25,"7220",White Womans Waterhole,-38.4805440000,146.7709050000,BASIC,,NONE,From Yarram take the Hyland Highway to the township of Won Wron and then travel 5km East on Napier Road to White Woman's Waterhole campsite. From Woodside continue West on the Carrajung-Woodside Rd after Duke St. After turning onto Napier Rd it is a furt,,A great jumping off point to explore the Won Wron and Mullungdung State Forests. Campsites and picnic areas are available and a couple of short walks are situated nearby.,YARRAM OFFICE,White Womans Waterhole,WCE,UY,Y,,,,,,Y,An open site with toilet facilities and space for a number of family groups.,"2",Y,"Easily accessible for camper trailers, this site is suitable for a short stay whilst exploring South Gippsland.",CAMPER TRAILER,"5",,,"0",Y,"This site is part of the Bataluk Cultural Trail which follows significant traditional routes used by the Gunaikurnai people. It is located on the traditional land of the Bratwoloong people, one of the five clans of the Gunaikurnai. The name of the nearby","4",,,"0",,,"0",,,"0",,,"0",,,"0",Y,This site provides an open picnic area in the centre of the Won Wron State Forest.,"3",,,"0",,,"0",,,"0",,,"0",,,"0","1","1",,,"1",,"1",,"120953","120954","120955",2021/09/25,-38.4805440000,146.7709050000,,,601803-20210302
REC SITES,2021/09/25,"5674",Andersons,-37.7233460000,146.3888690000,BASIC,,NONE,"Andersons can be found along Donnelly's Creek Rd, south of Code's Flat, just after crossing the bridge.",,"Located in the Toombon Gold-mines Historic Reserve, this remote and compact bushland site in an open, heathy dry forest is nice stop along the Aberfeldy Back Road Tour.  Set back about 80m from the Aberfeldy river continue through the site itself to find",ERICA,Andersons,W,,Y,,,,,,Y,"Small campground on the Aberfeldy River, just south of Codes Flat. There is limited room to accomodate campers, so this is a good spot for those seeking a quiet campsite. A basic toilet is located on site.","2",,,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,"0",,,,,,,"1",,"120656","120658","120657",2021/09/25,-37.7233460000,146.3888690000,,,564087-20210908
